State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct
Mississippi,28,2021,1968167,38108,586187,124967,303518,199843,303656,131795,29196,23016,1702178,86.49
Missouri,29,2021,4226634,67210,1303894,302328,573547,350837,823215,382906,79995,54527,3871249,91.59
Montana,30,2021,766758,12098,205527,59044,122627,69432,171377,64867,17438,13138,723450,94.35
Nebraska,31,2021,1292536,17892,325200,100264,180754,139742,286510,110814,27169,20768,1191221,92.16
Nevada,32,2021,2192826,63486,597385,169818,342708,196636,393208,151284,37186,22948,1911173,87.16
New Hampshire,33,2021,1008318,10550,267904,64794,114463,99262,247356,121904,20062,16493,952238,94.44
New Jersey,34,2021,6474427,123447,1649422,346790,649632,454004,1664353,829918,182026,114349,5890494,90.98
New Mexico,35,2021,1450549,24699,372497,97614,231178,131736,231745,141079,30534,32572,1268955,87.48
New York,36,2021,13987094,336642,3409426,694070,1387569,1238762,3105839,1784939,449463,243446,12313514,88.03
North Carolina,37,2021,7245632,99828,1802594,445998,990945,729951,1573681,701259,143710,111007,6499145,89.7
North Dakota,38,2021,506739,6228,133316,34626,72172,73471,113314,33528,7136,6869,474432,93.62
Ohio,39,2021,8117973,128382,2664759,558656,1002891,727443,1536624,715694,141585,100007,7447659,91.74
Oklahoma,40,2021,2639889,49383,811661,200810,378105,214116,483168,180357,40287,33371,2341875,88.71
Oregon,41,2021,3030635,53206,664591,248274,498671,271776,680306,291933,71611,57211,2784373,91.87
Pennsylvania,42,2021,9161945,135840,3047979,492704,901567,811426,1887722,914403,205288,157572,8418661,91.89
Rhode Island,44,2021,773464,13748,214431,44990,85506,62195,161594,86087,18738,15907,689448,89.14
South Carolina,45,2021,3598398,66359,1026970,220799,472792,369204,704740,321187,65540,43169,3224401,89.61
